Datasets,variable,value,metric
01_Ionosphere,grafting,32,#dim
02_Spambase,grafting,50,#dim
03_Spectf,grafting,37,#dim
04_Wdbc,grafting,24,#dim
05_colon,grafting,161,#dim
06_leukemia,grafting,112,#dim
07_lung cancer,grafting,79,#dim
08_prostate,grafting,153,#dim
09_arcene,grafting,107,#dim
10_dexter,grafting,159,#dim
11_gisette,grafting,138,#dim
12_madelon,grafting,92,#dim
01_Ionosphere,osfs,8,#dim
02_Spambase,osfs,54,#dim
03_Spectf,osfs,7,#dim
04_Wdbc,osfs,8,#dim
05_colon,osfs,2,#dim
06_leukemia,osfs,144,#dim
07_lung cancer,osfs,12,#dim
08_prostate,osfs,32,#dim
09_arcene,osfs,60,#dim
10_dexter,osfs,4,#dim
11_gisette,osfs,22,#dim
12_madelon,osfs,43,#dim
01_Ionosphere,ogfs,26,#dim
02_Spambase,ogfs,24,#dim
03_Spectf,ogfs,5,#dim
04_Wdbc,ogfs,18,#dim
05_colon,ogfs,102,#dim
06_leukemia,ogfs,63,#dim
07_lung cancer,ogfs,33,#dim
08_prostate,ogfs,96,#dim
09_arcene,ogfs,115,#dim
10_dexter,ogfs,170,#dim
11_gisette,ogfs,166,#dim
12_madelon,ogfs,70,#dim
01_Ionosphere,baseline,34,#dim
02_Spambase,baseline,57,#dim
03_Spectf,baseline,44,#dim
04_Wdbc,baseline,30,#dim
05_colon,baseline,2e3,#dim
06_leukemia,baseline,7129,#dim
07_lung cancer,baseline,12533,#dim
08_prostate,baseline,12600,#dim
09_arcene,baseline,1e4,#dim
10_dexter,baseline,2e4,#dim
11_gisette,baseline,5e3,#dim
12_madelon,baseline,500,#dim
01_Ionosphere,dpp,9,#dim
02_Spambase,dpp,10,#dim
03_Spectf,dpp,31,#dim
04_Wdbc,dpp,13,#dim
05_colon,dpp,47,#dim
06_leukemia,dpp,5,#dim
07_lung cancer,dpp,7,#dim
08_prostate,dpp,42,#dim
09_arcene,dpp,7,#dim
10_dexter,dpp,49,#dim
11_gisette,dpp,6,#dim
12_madelon,dpp,5,#dim
01_Ionosphere,dppv2,23,#dim
02_Spambase,dppv2,37,#dim
03_Spectf,dppv2,29,#dim
04_Wdbc,dppv2,13,#dim
05_colon,dppv2,38,#dim
06_leukemia,dppv2,58,#dim
07_lung cancer,dppv2,88,#dim
08_prostate,dppv2,34,#dim
09_arcene,dppv2,33,#dim
10_dexter,dppv2,56,#dim
11_gisette,dppv2,32,#dim
12_madelon,dppv2,47,#dim
01_Ionosphere,grafting,0.9,acc
02_Spambase,grafting,0.92,acc
03_Spectf,grafting,0.8,acc
04_Wdbc,grafting,0.94,acc
05_colon,grafting,1,acc
06_leukemia,grafting,1,acc
07_lung cancer,grafting,1,acc
08_prostate,grafting,1,acc
09_arcene,grafting,1,acc
10_dexter,grafting,1,acc
11_gisette,grafting,0.99,acc
12_madelon,grafting,0.57,acc
01_Ionosphere,osfs,0.81,acc
02_Spambase,osfs,0.54,acc
03_Spectf,osfs,0.79,acc
04_Wdbc,osfs,0.76,acc
05_colon,osfs,0.85,acc
06_leukemia,osfs,0.6,acc
07_lung cancer,osfs,1,acc
08_prostate,osfs,0.94,acc
09_arcene,osfs,0.44,acc
10_dexter,osfs,0.67,acc
11_gisette,osfs,0.91,acc
12_madelon,osfs,0.5,acc
01_Ionosphere,ogfs,0.88,acc
02_Spambase,ogfs,0.91,acc
03_Spectf,ogfs,0.71,acc
04_Wdbc,ogfs,0.96,acc
05_colon,ogfs,1,acc
06_leukemia,ogfs,1,acc
07_lung cancer,ogfs,1,acc
08_prostate,ogfs,1,acc
09_arcene,ogfs,1,acc
10_dexter,ogfs,1,acc
11_gisette,ogfs,0.99,acc
12_madelon,ogfs,0.57,acc
01_Ionosphere,baseline,0.92,acc
02_Spambase,baseline,0.71,acc
03_Spectf,baseline,0.79,acc
04_Wdbc,baseline,0.72,acc
05_colon,baseline,0.66,acc
06_leukemia,baseline,1,acc
07_lung cancer,baseline,1,acc
08_prostate,baseline,0.91,acc
09_arcene,baseline,0.89,acc
10_dexter,baseline,1,acc
11_gisette,baseline,0.99,acc
12_madelon,baseline,0.5,acc
01_Ionosphere,dpp,0.88,acc
02_Spambase,dpp,0.82,acc
03_Spectf,dpp,0.79,acc
04_Wdbc,dpp,0.86,acc
05_colon,dpp,0.95,acc
06_leukemia,dpp,0.68,acc
07_lung cancer,dpp,0.91,acc
08_prostate,dpp,0.92,acc
09_arcene,dpp,0.78,acc
10_dexter,dpp,0.62,acc
11_gisette,dpp,0.76,acc
12_madelon,dpp,0.48,acc
01_Ionosphere,dppv2,0.86,acc
02_Spambase,dppv2,0.88,acc
03_Spectf,dppv2,0.79,acc
04_Wdbc,dppv2,0.86,acc
05_colon,dppv2,1,acc
06_leukemia,dppv2,1,acc
07_lung cancer,dppv2,1,acc
08_prostate,dppv2,0.86,acc
09_arcene,dppv2,0.89,acc
10_dexter,dppv2,0.63,acc
11_gisette,dppv2,0.76,acc
12_madelon,dppv2,0.55,acc
